id,name,link,created_at
1,Love,https://www.goodreads.com/quotes/tag/love,2023-05-24 07:56:22.452151+00
2,Life,https://www.goodreads.com/quotes/tag/life,2023-05-24 07:56:22.452151+00
3,Inspirational,https://www.goodreads.com/quotes/tag/inspirational,2023-05-24 07:56:22.452151+00
4,Humor,https://www.goodreads.com/quotes/tag/humor,2023-05-24 07:56:22.452151+00
5,Philosophy,https://www.goodreads.com/quotes/tag/philosophy,2023-05-24 07:56:22.452151+00
6,God,https://www.goodreads.com/quotes/tag/god,2023-05-24 07:56:22.452151+00
7,Motivation,https://www.goodreads.com/quotes/tag/motivation,2023-05-24 07:56:22.452151+00
8,Truth,https://www.goodreads.com/quotes/tag/truth,2023-05-24 07:56:22.452151+00
9,Wisdom,https://www.goodreads.com/quotes/tag/wisdom,2023-05-24 07:56:22.452151+00
10,Romance,https://www.goodreads.com/quotes/tag/romance,2023-05-24 07:56:22.452151+00
11,Poetry,https://www.goodreads.com/quotes/tag/poetry,2023-05-24 07:56:22.452151+00
12,Death,https://www.goodreads.com/quotes/tag/death,2023-05-24 07:56:22.452151+00
13,Happiness,https://www.goodreads.com/quotes/tag/happiness,2023-05-24 07:56:22.452151+00
14,Hope,https://www.goodreads.com/quotes/tag/hope,2023-05-24 07:56:22.452151+00
15,Faith,https://www.goodreads.com/quotes/tag/faith,2023-05-24 07:56:22.452151+00
16,Knowledge,https://www.goodreads.com/quotes/tag/knowledge,2023-05-24 07:56:22.452151+00
17,Inspiration,https://www.goodreads.com/quotes/tag/inspiration,2023-05-24 07:56:22.452151+00
18,Writing,https://www.goodreads.com/quotes/tag/writing,2023-05-24 07:56:22.452151+00
19,Motivational,https://www.goodreads.com/quotes/tag/motivational,2023-05-24 07:56:22.452151+00
20,Religion,https://www.goodreads.com/quotes/tag/religion,2023-05-24 07:56:22.452151+00
21,Spirituality,https://www.goodreads.com/quotes/tag/spirituality,2023-05-24 07:56:22.452151+00
22,Relationships,https://www.goodreads.com/quotes/tag/relationships,2023-05-24 07:56:22.452151+00
23,Success,https://www.goodreads.com/quotes/tag/success,2023-05-24 07:56:22.452151+00
24,Time,https://www.goodreads.com/quotes/tag/time,2023-05-24 07:56:22.452151+00
25,Science,https://www.goodreads.com/quotes/tag/science,2023-05-24 07:56:22.452151+00
